PROCEDIMENTO;RN_alteracao;VIGENCIA;Seg. Odontológica;Seg. Ambulatorial;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
EMG PARA MONITORACAO DE QUIMODENERVACAO;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
EMG QUANTITATIVA OU EMG DE FIBRA UNICA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ESPECTROGRAFIA VOCAL;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
GUSTOMETRIA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
IMPEDANCIOMETRIA MEDIDAS DE IMITANCIA ACUSTICA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
METODO DE PROETZ;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
OSCILOMETRIA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
EMISSOES OTOACUSTICAS EVOCADAS TRANSIENTES OU PRODUTO DE DISTORCAO - TESTE DA ORELHINHA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PESQUISA DE PARES CRANIANOS RELACIONADOS COM O VIII PAR;;;;;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PESQUISA DE POTENCIAIS EVOCADOS AUDITIVOS DE TRONCO CEREBRAL BERA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PESQUISA DO FENOMENO DE TULLIO;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POLIGRAFIA DE RECEM-NASCIDO PGRN;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POLISSONOGRAFIA COM EEG DE NOITE INTEIRA COM OU SEM TESTE DE CPAPBIPAP NASAL INCLUI POLISSONOGRAMAS;;;;;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO AUDITIVO DE ESTADO ESTAVEL - PEAEE STEADY STATE;;;;;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO AUDITIVO DE MEDIA LATENCIA PEA-ML;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO GENITO-CORTICAL PEGC;;;;;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO MOTOR - PEM;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO P300;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL EVOCADO SOMATO-SENSITIVO - MEMBROS INFERIORES E SUPERIORES PESS;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL SOMATO-SENSITIVO PARA LOCALIZACAO FUNCIONAL DA AREA CENTRAL;;;;;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POTENCIAL VISUAL EVOCADO PEV;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PROVAS DE FUNCAO TUBARIA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RINOMANOMETRIA;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TESTE DE LATENCIAS MULTIPLAS DE SONO TLMS;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-ELETROENCEFALOGRAFIA CONTINUA NAO INVASIVA VIDEO EEGNT;;;;AMB;HCO;HSO;REF;;;SISTEMA NERVOSO;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AVALIACAO MUSCULAR POR DINAMOMETRIA COMPUTADORIZADA ISOCINETICA;;;;AMB;HCO;HSO;REF;;;EXAMES OSTEO - MUSCULO - ARTICULARES;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CURVA IT - MEDIDA DE LATENCIA DE NERVO PERIFERICO;;;;AMB;HCO;HSO;REF;;;EXAMES OSTEO - MUSCULO - ARTICULARES;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
SISTEMA TRIDIMENSIONAL DE AVALIACAO DO MOVIMENTO QUE INCLUI VIDEO ACOPLADO A PLATAFORMA DA FORCA E ELETROMIOGRAFIA;;;;AMB;HCO;HSO;REF;;;EXAMES OSTEO - MUSCULO - ARTICULARES;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DETERMINACAO DAS PRESSOES RESPIRATORIAS MAXIMAS;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DETERMINACAO DOS VOLUMES PULMONARES POR PLETISMOGRAFIA OU POR DILUICAO DE GASES;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
MEDIDA DA DIFUSAO DO MONOXIDO DE CARBONO;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
MEDIDA DE PICO DE FLUXO EXPIRATORIO;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PROVA DE FUNCAO PULMONAR COMPLETA OU ESPIROMETRIA;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RESISTENCIA DAS VIAS AEREAS POR OSCILOMETRIA;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RESISTENCIA DAS VIAS AEREAS POR PLETISMOGRAFIA;;;;AMB;HCO;HSO;REF;;;FUNCAO RESPIRATORIA;ELETROFISIOLOGICOS MECANICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AVALIACAO ENDOSCOPICA DA DEGLUTICAO FEES;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMNIOSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ARITENOIDECTOMIA MICROCIRURGICA ENDOSCOPICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BIOPSIAS POR LAPAROSCOPIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BRONCOSCOPIA COM BIOPSIA TRANSBRONQUICA COM ACOMPANHAMENTO RADIOSCOPICO;;;;;HCO;HSO;REF;PAC;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BRONCOSCOPIA COM OU SEM BIOPSIA, ASPIRADO, ESCOVADO, LAVADO BRONCOALVEOLAR, PUNCAO, CATETER PROTEGIDO E CURETA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CECOSTOMIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CISTOSCOPIA EOU URETROSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLAGEM DE FISTULA POR VIA ENDOSCOPICA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLOCACAO DE CANULA SOB ORIENTACAO ENDOSCOPICA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLOCACAO DE CATETER PARA BRAQUITERAPIA ENDOBRONQUICA;;;;;HCO;HSO;REF;PAC;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLOCACAO DE PROTESE COLEDOCIANA POR VIA ENDOSCOPICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLOCACAO DE PROTESE TRAQUEAL OU BRONQUICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
COLONOSCOPIA COM BIOPSIA EOU CITOLOGIA COM OU SEM DILATACAO SEGMENTAR OU ESTENOSTOMIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DESCOMPRESSAO COLONICA POR COLONOSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DESOBSTRUCAO BRONQUICA COM LASER OU ELETROCAUTERIO;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DESOBSTRUCAO BRONQUICA POR BRONCOASPIRACAO;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DILATACAO DE ESTENOSE BRONQUICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DILATACAO INSTRUMENTAL DO ESOFAGO, ESTOMAGO OU DUODENO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DILATACAO INSTRUMENTAL E INJECAO DE SUBSTANCIA MEDICAMENTOSA POR ENDOSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DILATACAO PARA TRATAMENTO DE ESTENOSE LARINGO-TRAQUEAL;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DIVERTICULOTOMIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
DRENAGEM CAVITARIA POR LAPAROSCOPIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ECOBRONCOSCOPIA COM PUNCAO ASPIRATIVA COM AGULHA FINA COM DIRETRIZ DE UTILIZACAO;6072024;21062024;;;HCO;HSO;REF;PAC;165;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ECOENDOSCOPIA ULTRASSOM ENDOSCOPICO COM OU SEM PUNCAO POR AGULHA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ENDOSCOPIA COM PAPILOTOMIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ENDOSCOPIA DIGESTIVA ALTA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ENDOSCOPIA DIGESTIVA ALTA COM BIOPSIA EOU CITOLOGIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ENTEROSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ENTEROSCOPIA DO INTESTINO DELGADO COM CAPSULA ENDOSCOPICA COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;141;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ESCLEROSE DE VARIZES DE ESOFAGO, ESTOMAGO OU DUODENO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ESTENOSTOMIA ENDOSCOPICA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
GASTROSTOMIA ENDOSCOPICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
HEMOSTASIA MECANICA EOU TERMICA DO ESOFAGO, ESTOMAGO OU DUODENO;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
HEMOSTASIA TERMICA POR ENDOSCOPIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
HEMOSTASIAS DE COLON;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
HISTEROSCOPIA DIAGNOSTICA COM OU SEM BIOPSIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
INTRODUCAO DE PROTESE NO ESOFAGO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
JEJUNOSTOMIA ENDOSCOPICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LAPAROSCOPIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA COM RETIRADA DE CORPO ESTRANHO DE LARINGEFARINGE TUBO FLEXIVEL;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIATRAQUEOSCOPIA COM DILATACAO DE ESTENOSE;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIATRAQUEOSCOPIA COM LASER PARA EXERESE DE PAPILOMATUMOR;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIATRAQUEOSCOPIA COM OU SEM MICROSCOPIA PARA RETIRADA DE POLIPONODULOPAPILOMA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIATRAQUEOSCOPIA PARA DIAGNOSTICO E BIOPSIA TUBO RIGIDO OU FLEXIVEL;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIATRAQUEOSCOPIA PARA INTUBACAO ORO OU NASOTRAQUEAL;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LIGADURA ELASTICA DO ESOFAGO, ESTOMAGO OU DUODENO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
MUCOSECTOMIA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
NASOFIBROLARINGOSCOPIA PARA DIAGNOSTICO EOU BIOPSIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PAPILOTOMIA E DILATACAO BILIAR OU PANCREATICA COM OU SEM COLOCACAO DE PROTESE OU DRENO;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PAPILOTOMIA ENDOSCOPICA PARA RETIRADA DE CALCULOS COLEDOCIANOS OU DRENAGEM BILIAR;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PASSAGEM DE SONDA NASO-ENTERAL;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POLIPECTOMIA DE COLON;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POLIPECTOMIA DO ESOFAGO, ESTOMAGO E DUODENO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETIRADA DE TUMOR OU PAPILOMA OU POLIPO POR BRONCOSCOPIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETIRADA ENDOSCOPICA DE CORPO ESTRANHO QUALQUER LOCALIZACAO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETOSSIGMOIDOSCOPIA RIGIDA OU FLEXIVEL COM OU SEM BIOPSIA EOU CITOLOGIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETOSSIGMOIDOSCOPIA RIGIDA OU FLEXIVEL COM OU SEM POLIPECTOMIA EOU MUCOSECTOMIA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TAMPONAMENTO DE VARIZES DO ESOFAGO E ESTOMAGO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TESTE DA UREASE PARA HELICOBACTER PYLORI TESTE DE HEALD;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TRATAMENTO ENDOSCOPICO DE HEMOPTISE;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
URETEROSCOPIA FLEXIVEL OU RIGIDO;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
URETROTOMIA ENDOSCOPICA;;;;;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-ENDOSCOPIA DO ESFINCTER VELO-PALATINO COM OTICA FLEXIVEL OU RIGIDA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-ENDOSCOPIA NASO-SINUSAL COM OTICA FLEXIVEL OU RIGIDA;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-FARINGO-LARINGOSCOPIA COM ENDOSCOPIO FLEXIVEL OU RIGIDO;;;;AMB;HCO;HSO;REF;;;ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA;ENDOSCOPICOS;PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
